seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2018Q2,2018,2,seller_2241,,52,52,52,0,58,33454.75,8,23.316666666666666,5.0,10,3,3,teresopolis,RJ
2018Q2,2018,2,seller_1111,,129,129,111,43,113,21153.8,22,27.666666666666668,2.0,5,3,3,campinas,SP
2018Q2,2018,2,seller_920,,29,29,29,1,33,2391.05,5,57.28333333333333,5.0,9,3,3,cruzeiro,SP
2018Q2,2018,2,seller_1444,,27,27,27,0,26,3533.27,2,465.53333333333336,4.0,3,3,3,sao roque,SP
2018Q2,2018,2,seller_2697,,6,6,6,0,6,4301.98,0,20.858333333333334,5.0,12,3,3,sao paulo,SP
2018Q2,2018,2,seller_1705,,18,18,16,2,20,4044.14,5,41.93333333333333,4.0,8,3,3,sao  paulo,SP
2018Q2,2018,2,seller_2232,,14,14,14,0,18,4105.4,4,90.94166666666666,5.0,7,3,3,teixeira soares,PR
2018Q2,2018,2,seller_640,,14,14,14,0,18,8195.3,4,36.233333333333334,5.0,9,3,3,curitiba,PR
2018Q2,2018,2,seller_2509,,1,1,1,0,0,0.0,0,11.933333333333334,0.0,1,3,1,juiz de fora,MG
2018Q2,2018,2,seller_547,,37,37,39,0,42,4466.2,1,36.53333333333333,5.0,17,3,3,porto alegre,RS
2018Q2,2018,2,seller_1917,,3,3,3,0,3,261.0,1,255.68333333333334,4.0,2,2,2,curitiba,PR
2018Q2,2018,2,seller_3021,,6,7,7,0,8,1160.0,2,350.9166666666667,5.0,8,3,3,araras,SP
2018Q2,2018,2,seller_1265,,71,73,75,6,85,3942.4,12,27.45,4.0,17,3,3,ibitinga,SP
2018Q2,2018,2,seller_2053,,6,6,5,0,4,406.2,0,21.416666666666668,5.0,4,3,3,americana,SP
2018Q2,2018,2,seller_375,,1,1,2,1,3,252.0,2,65.78333333333333,3.0,4,3,1,guarulhos,SP
2018Q2,2018,2,seller_2648,,59,60,56,2,74,10269.300000000001,8,25.95,5.0,15,3,3,jau,SP
2018Q2,2018,2,seller_1388,,30,30,29,0,29,1259.98,3,31.425,4.5,7,3,3,capivari,SP
2018Q2,2018,2,seller_86,,24,24,24,0,26,1810.75,1,36.833333333333336,5.0,18,3,3,rio do sul,SC
2018Q2,2018,2,seller_1245,,1,1,1,0,0,0.0,0,26.6,0.0,1,3,1,ribeirao preto,SP
2018Q2,2018,2,seller_332,,267,267,269,3,306,5116.14,38,26.05,5.0,9,3,3,sao paulo,SP
2018Q2,2018,2,seller_1139,,31,31,30,0,27,1627.73,2,32.766666666666666,5.0,3,3,3,ibitinga,SP
2018Q2,2018,2,seller_244,,14,14,13,0,11,1458.8000000000002,0,34.141666666666666,4.5,17,3,3,uba,MG
2018Q2,2018,2,seller_819,,15,15,16,0,19,1486.82,2,26.133333333333333,5.0,17,3,3,pedreira,SP
2018Q2,2018,2,seller_1100,,47,48,46,1,46,3697.9,1,26.158333333333335,4.0,6,3,3,brusque,SC
2018Q2,2018,2,seller_2084,,21,21,24,4,39,4064.7799999999997,3,44.45,4.0,5,3,2,sao jose dos campos,SP
2018Q2,2018,2,seller_391,,4,4,4,0,4,369.81,1,13.358333333333333,4.5,2,2,2,franca,SP
2018Q2,2018,2,seller_1790,,77,77,71,13,63,6171.8,4,25.116666666666667,4.0,7,3,3,salto,SP
